"country","ForestAreaPctAnnualChange1990To2020","ForestArea2020","ForestArea1990","ForestAreaPctAnnualChange2010To2020","ForestAreaPctAnnualChange2000To2010","ForestAreaPctAnnualChange1990To2000"
"Belize",-20.19,1277,1600,-0.85,-0.48,-0.92
"Bahamas",,510,510,,,
"Iceland",200,51,17,1.4,4.12,5.74
"Guadeloupe",-1.37,72,73,0.05,-0.1,-0.12
"Martinique",8.33,52,48,0.39,0.31,0.19
"Vanuatu",,442,442,,,
"Mayotte",-26.32,14,19,-0.37,-0.83,-1.96
"French Guiana",-1.5,8003,8125,-0.04,-0.05,-0.06
"New Caledonia",0.84,838,831,-0.01,0.01,0.08
"Barbados",,6,6,,,
"French Polynesia",3.47,149,144,,0.06,0.28
"Sao Tome and Principe",-11.86,52,59,-1.12,-0.04,-0.04
"Samoa",-7.95,162,176,-0.29,-0.28,-0.28
"Saint Lucia",,21,21,,-0.11,-0.12
"Guam",16.67,28,24,1.55,,
"Kiribati",,1,1,,,
"Seychelles",,34,34,,,
"Grenada",,18,18,,,
"Micronesia",,64,64,0.05,0.04,0.04
"Tonga",,9,9,,,
"Jersey",,1,1,,,
"Saint Vincent and the Grenadines",3.57,29,28,,,0.36
"Antigua and Barbuda",-20,8,10,-0.78,-0.73,-0.67
"United States Virgin Islands",-20,20,25,0.78,-1.04,-1.8
"Isle of Man",,3,3,,,
"Andorra",,16,16,,,
"Cayman Islands",,13,13,,-0.16,-0.15
"Dominica",-4,48,50,,,-0.5
"Bermuda",,1,1,,,
"Saint Kitts and Nevis",,11,11,,,
"American Samoa",-5.56,17,18,-0.17,-0.17,-0.19
"Turks and Caicos Islands",,11,11,,,
"Northern Mariana Islands",-29.41,24,34,-2.16,-0.53,-0.5
"Liechtenstein",,7,7,,,0.3
"British Virgin Islands",,4,4,-0.06,-0.08,-0.11
"Marshall Islands",,9,9,,,
"San Marino",,1,1,,,
"Saint Martin",,1,1,,,
"Palau",7.89,41,38,0.21,0.24,0.37
"Anguilla",,6,6,,,
"Cook Islands",6.67,16,15,,0.01,0.43
"Tuvalu",,1,1,,,
"Saint Pierre and Miquelon",-50,1,2,-1.64,-1.47,-1.28
"Montserrat",-25,3,4,,,-3.31
"Niue",,19,19,0.05,-0.03,-0.05
